,state,city,county,year,day_of_week,hospital,lighting,population_type,weather,fatalities
0,Utah,ST. GEORGE,WASHINGTON (53),2022,Monday,1,Dark - Lighted,Urban,Clear,1
0,Utah,PROVO,UTAH (49),2022,Friday,1,Dark - Lighted,Urban,Clear,1
0,Utah,CENTERVILLE,DAVIS (11),2022,Saturday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,WENDOVER,TOOELE (45),2022,Monday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,MARRIOTT,WEBER (57),2022,Saturday,0,Dark - Lighted,Urban,Clear,1
0,Utah,HILDALE,WASHINGTON (53),2022,Monday,1,Daylight,Rural,Clear,1
0,Utah,MANTI,SANPETE (39),2022,Thursday,0,Daylight,Rural,Cloudy,1
0,Utah,FAYETTE,SANPETE (39),2022,Friday,1,Daylight,Rural,Clear,1
0,Utah,Other,SALT LAKE (35),2022,Tuesday,0,Dark - Lighted,Urban,Clear,1
0,Utah,SOUTH OGDEN,WEBER (57),2022,Monday,0,Daylight,Urban,Clear,1
0,Utah,MONTEZUMA CREEK,SAN JUAN (37),2022,Saturday,1,Daylight,Rural,Cloudy,1
0,Utah,RIVERTON,SALT LAKE (35),2022,Friday,1,Dusk,Urban,Clear,1
0,Utah,COTTONWOOD,SALT LAKE (35),2022,Monday,0,Daylight,Urban,Clear,1
0,Utah,Other,UTAH (49),2022,Saturday,1,Daylight,Rural,Cloudy,2
0,Utah,WEST HAVEN,WEBER (57),2022,Wednesday,1,Dark - Not Lighted,Urban,Snow,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Wednesday,0,Daylight,Urban,Clear,1
0,Utah,VIRGIN,WASHINGTON (53),2022,Sunday,1,Daylight,Rural,Clear,2
0,Utah,CENTERVILLE,DAVIS (11),2022,Saturday,0,Dusk,Urban,Clear,1
0,Utah,NAPLES,UINTAH (47),2022,Tuesday,1,Dawn,Rural,Clear,1
0,Utah,PARK CITY,SUMMIT (43),2022,Thursday,1,Daylight,Urban,Clear,1
0,Utah,CHARLESTON,WASATCH (51),2022,Saturday,0,Daylight,Rural,Clear,1
0,Utah,SEVIER,SEVIER (41),2022,Saturday,1,Daylight,Rural,Clear,1
0,Utah,OAKLEY,SUMMIT (43),2022,Wednesday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,CLEARFIELD,DAVIS (11),2022,Saturday,1,Daylight,Urban,Clear,1
